age,country,job,study_hours,sleep_hours,phone_hours,social_media_hours,attendance,previous_score,exam_score,pass_fail
56.0,India,student,6.921404281438389,8.641599695624711,0.6399905089403037,5.83331008133116,53.0,,100.91583715800192,1.0
46.0,Uzbekistan,designer,6.137418032071346,9.673006880498082,1.491350881904009,0.1035915270570964,72.0,62.0,96.34722814383414,1.0
,Germany,engineer,5.622935126522107,7.438414962353365,7.84674375945962,4.72314359456782,70.0,43.0,71.90033199794193,0.0
25.0,Korea,designer,5.8606968838095055,8.13274170264396,5.3846291472814,3.084580467497551,70.0,87.0,90.39466439490788,1.0
38.0,Uzbekistan,teacher,4.810186861458139,7.404596060744218,1.2585968340541305,1.3657542117678192,55.0,91.0,91.37384104457932,1.0
56.0,Germany,student,5.069551937586881,6.869005953394596,6.389657989254109,3.797061645107864,73.0,77.0,91.2261621215606,1.0
36.0,Uzbekistan,designer,3.903772103548551,7.771385617919027,2.5926049076093136,2.822792092647441,96.0,69.0,91.23352581373896,1.0
,India,student,5.082914242268178,8.783999251468726,5.281901216666794,1.976193005788765,80.0,80.0,,1.0
28.0,India,student,3.829548008433006,5.670457245971282,5.252027208791342,0.9277835043284663,68.0,62.0,78.24711130803749,0.0
28.0,India,engineer,7.011310186153194,4.822904946530636,7.329981400165398,0.8017393064641052,87.0,44.0,88.37696382647063,0.0
41.0,Korea,engineer,1.6010051426431118,6.200487625545301,2.9245404989990904,2.0836330508262,,60.0,57.62372796671307,0.0
53.0,India,teacher,5.962106582250964,7.317492914949556,2.5195412256399305,2.41951782343668,63.0,95.0,107.47475299221249,1.0
57.0,Germany,freelancer,5.67317340284456,8.304807426431847,,1.1841862007417974,99.0,45.0,107.85943631594972,1.0
41.0,Uzbekistan,student,5.492031928352067,5.515738262716768,3.756453746613656,3.057720221470442,61.0,88.0,104.46842141385122,1.0
20.0,,freelancer,7.048997897730973,3.267135216062784,,1.397795696903219,64.0,56.0,93.5390893081996,1.0
39.0,Germany,teacher,4.427752819914105,6.235827014993475,5.723947670538947,3.540331080263852,68.0,64.0,77.3761011426167,0.0
19.0,,student,5.510867689144099,6.709128661512646,6.504798759257517,4.847068981907485,77.0,63.0,92.9015954309368,1.0
41.0,India,student,1.5669162236270942,5.256589774882842,4.579611483996787,3.4340614742941127,89.0,61.0,63.473996056592426,0.0
47.0,Korea,freelancer,4.169366235729553,5.865863606774032,5.009562236478334,2.859247813529348,90.0,52.0,84.1289454982302,0.0
,Uzbekistan,designer,6.7114728623504485,8.300925115130497,4.136240881427229,2.197654443268357,54.0,56.0,78.65106150465476,0.0
19.0,Korea,engineer,2.3216765289270365,7.117180104394149,5.414909671105802,5.169147927862829,54.0,53.0,52.74973419669867,0.0
38.0,Uzbekistan,designer,5.31948673410149,7.518433177913977,2.13151528580002,2.7097264237114,55.0,73.0,88.71568897780496,0.0
50.0,Uzbekistan,freelancer,3.644965856232406,6.466476652584179,1.1830703381694971,6.73533566516959,72.0,65.0,89.6754761116602,1.0
29.0,Korea,engineer,4.77802605645653,,2.3425239811174343,1.22544623263181,52.0,58.0,85.87115392536653,0.0
39.0,Germany,designer,3.7646450224768055,6.455652655863784,4.427247435173314,3.434860923993136,86.0,65.0,79.72684435497435,0.0
42.0,Uzbekistan,engineer,2.505608791413139,7.748320291269538,1.3991506683895052,5.119085414953134,82.0,99.0,99.02472388858126,1.0
44.0,Korea,student,5.772006629919602,4.763019682988174,2.733511680791624,1.96479550212359,92.0,42.0,98.2246022777361,1.0
59.0,Uzbekistan,designer,4.900806475950508,9.475255389748018,2.7974114339296685,2.645813475036767,70.0,41.0,75.48366229937545,0.0
,USA,engineer,6.225258239374399,7.862287743523604,5.563642421930912,3.9392197617396514,69.0,67.0,105.23444993329264,1.0
33.0,Germany,engineer,6.588875815997722,6.196179843563927,5.320190921060759,3.5818353695966785,50.0,41.0,77.41391892251164,0.0
32.0,India,engineer,7.45051747417803,8.220110676829751,4.140972184517834,3.839548596331464,88.0,61.0,107.149590672709,1.0
20.0,Uzbekistan,designer,5.26697349088533,8.833523600609661,4.902129763275114,4.740387711912398,96.0,,88.46089134345412,0.0
54.0,USA,teacher,7.537242049206417,6.504492925596343,4.941580887933941,,66.0,43.0,89.94582096207189,1.0
24.0,India,designer,,6.675122815352408,3.2727608857340567,5.155538847202109,78.0,88.0,85.66878498925108,0.0
38.0,India,freelancer,6.817919658456263,9.240211320209507,2.9150013872245437,,57.0,77.0,111.36052661345556,1.0
26.0,Uzbekistan,designer,5.918780832655707,10.178462720377148,7.0733728312447415,4.616156318378507,75.0,78.0,94.79959525984252,1.0
56.0,Korea,engineer,5.466185305029574,7.044153486352162,0.0,4.720808531364465,77.0,59.0,87.85439347536006,0.0
35.0,Uzbekistan,student,5.889464468326235,5.262678479366539,2.517393262125495,1.8382944359189384,83.0,45.0,91.31752616160487,1.0
21.0,USA,designer,3.078522243329076,6.294096767613162,3.592434957180188,0.8240457360346269,75.0,48.0,60.461840137010256,0.0
42.0,India,designer,2.6065063801499546,8.549523616703802,5.119902854638694,2.651748893160385,62.0,,79.03860111839498,0.0
,Uzbekistan,engineer,8.419656372153996,5.4546770559793085,6.271013052206383,3.6057046962438952,93.0,99.0,135.6961734519504,1.0
26.0,Korea,student,4.66255564360546,6.687575200361472,7.713463208376293,,86.0,70.0,90.0305204729237,1.0
43.0,Uzbekistan,student,4.634013156386599,7.438877322147444,3.816578634259739,3.752913281935788,62.0,65.0,85.0766094865368,0.0
19.0,Germany,freelancer,2.7953810515174164,5.6159279703884994,3.950528750620333,5.906615644904654,87.0,75.0,,0.0
37.0,Korea,designer,2.036443389006326,8.644651842814115,4.72522012123036,,74.0,65.0,58.19562306890132,0.0
45.0,USA,student,4.823362242375436,8.040951272806563,2.937758123342156,0.0688423452213258,96.0,67.0,99.03131417177168,1.0
24.0,India,student,4.316824156982544,10.014318864287938,1.6315254558882497,2.8960535197256667,72.0,44.0,84.7137987908853,0.0
