Age,Gender,Country,Experience_Years,Work_Hours_Per_Day,Remote_Work_Days,Sleep_Hours,Physical_Activity_Hours,Meetings_Per_Day,Screen_Time_Hours,Internet_Speed_Mbps,Stress_Level,Job_Satisfaction,Work_Life_Balance,Productivity_Score
48.0,Female,,5.0,7.459627732913309,0.0,4.700127311913335,4.231575274500103,5.0,8.814756073012267,104.34182541191318,6.0,0.5824347840617407,0.6126828997556009,53.258289830087094
23.0,Female,Brazil,,7.668601603457944,3.0,9.5,2.240208632610197,4.0,10.764337370862512,176.6902176437252,3.0,0.4424510281898849,0.8076666990589118,64.2884558357098
29.0,Male,India,3.0,9.847964761965933,6.0,9.066660263010357,2.392068728708794,2.0,4.079460494785621,184.25812296504026,2.0,0.733396987763681,0.7055373974753375,77.75650168464932
48.0,Female,France,9.0,6.216410156899661,6.0,8.076593813879374,1.5893386687642437,6.0,10.167618786551976,,1.0,0.6672501878920835,0.8346564178846418,76.82052887525822
24.0,Female,Canada,7.0,7.78502520695369,1.0,6.608652539646624,1.6855474180230008,2.0,10.01138483806893,238.092071053182,1.0,0.9812554513758771,,97.25613880643375
22.0,Male,India,15.0,7.612191756192769,3.0,6.387368631780094,2.900597931025181,2.0,11.353748642403298,135.34508158967265,7.0,0.6727115832221909,0.7040063804593765,81.58529656370214
23.0,Female,Spain,10.0,8.60242023371136,4.0,5.734266189080856,4.446750093773748,3.0,9.271408327483885,135.96211797905312,1.0,0.49751177424195936,0.6253105994486334,75.40036395469991
27.0,Male,Spain,22.0,7.47942974903658,4.0,7.013243042540632,2.407922278495491,6.0,8.476815595007192,179.62840621168368,5.0,0.7667869375174744,0.7183192635077441,100.0
46.0,Male,Germany,24.0,8.063231166237825,0.0,6.629527079182833,4.070719055466807,2.0,10.749796043739467,221.92479338131196,2.0,0.677809367772483,0.5892396886557398,100.0
21.0,Male,USA,1.0,7.200213397291991,5.0,6.388536502567566,2.043155783408222,5.0,7.908329135585412,139.96670926082066,4.0,0.7500285731271206,0.6641026334323161,60.26939030767987
23.0,Female,Uzbekistan,4.0,9.100403230815964,1.0,7.9885705427935285,0.06913287745400254,1.0,4.982987731553033,204.82507911967454,6.0,0.6296473908020165,0.9989927835303314,75.82140772142897
21.0,Male,India,5.0,8.593991069064074,6.0,5.925080321901215,1.310408423605147,3.0,6.734601663006998,216.54425404268517,2.0,0.9725185609276663,0.6232427126041776,81.44117493813526
,Male,USA,8.0,9.701565327383374,3.0,5.727093426315339,0.612491941565642,6.0,,164.67808574258862,8.0,0.4502714796632743,0.7259804745818583,55.63754259865056
25.0,Female,UK,0.0,8.865340938495235,3.0,8.373727113761193,3.661414110688959,4.0,8.853863244942328,88.11613345996363,9.0,0.7310566140269982,0.58819898964831,49.51833473008579
